Iter, Pi
0, inf
1, 2
2, 1.5
3, 1.33333
4, 1.25
5, 1.2
6, 1
7, 1
8, 1
9, 1
10, 1
11, 1
12, 0.916667
13, 0.923077
14, 0.928571
15, 0.933333
16, 0.9375
17, 0.941176
18, 0.944444
19, 0.947368
20, 0.95
21, 0.904762
22, 0.909091
23, 0.913043
24, 0.916667
25, 0.92
26, 0.923077
27, 0.925926
28, 0.928571
29, 0.896552
30, 0.866667
31, 0.83871
32, 0.84375
33, 0.818182
34, 0.823529
35, 0.828571
36, 0.805556
37, 0.810811
38, 0.815789
39, 0.820513
40, 0.825
41, 0.804878
42, 0.809524
43, 0.813953
44, 0.818182
45, 0.822222
46, 0.826087
47, 0.829787
48, 0.8125
49, 0.816327
50, 0.82
51, 0.823529
52, 0.807692
53, 0.811321
54, 0.814815
55, 0.818182
56, 0.821429
57, 0.824561
58, 0.810345
59, 0.813559
60, 0.816667
61, 0.803279
62, 0.806452
63, 0.809524
64, 0.796875
65, 0.8
66, 0.80303
67, 0.80597
68, 0.808824
69, 0.797101
70, 0.8
71, 0.802817
72, 0.805556
73, 0.794521
74, 0.797297
75, 0.8
76, 0.802632
77, 0.805195
78, 0.807692
79, 0.810127
80, 0.8125
81, 0.814815
82, 0.817073
83, 0.819277
84, 0.821429
85, 0.823529
86, 0.825581
87, 0.816092
88, 0.818182
89, 0.820225
90, 0.811111
91, 0.813187
92, 0.815217
93, 0.817204
94, 0.819149
95, 0.821053
96, 0.822917
97, 0.824742
98, 0.816327
99, 0.818182
100, 0.82
101, 0.821782
102, 0.813725
103, 0.805825
104, 0.807692
105, 0.809524
106, 0.811321
107, 0.803738
108, 0.796296
109, 0.798165
110, 0.8
111, 0.801802
112, 0.794643
113, 0.787611
114, 0.780702
115, 0.773913
116, 0.775862
117, 0.777778
118, 0.779661
119, 0.781513
120, 0.783333
121, 0.785124
122, 0.778689
123, 0.772358
124, 0.774194
125, 0.776
126, 0.777778
127, 0.779528
128, 0.78125
129, 0.782946
130, 0.776923
131, 0.778626
132, 0.780303
133, 0.781955
134, 0.776119
135, 0.777778
136, 0.779412
137, 0.781022
138, 0.782609
139, 0.784173
140, 0.785714
141, 0.787234
142, 0.788732
143, 0.79021
144, 0.791667
145, 0.786207
146, 0.787671
147, 0.782313
148, 0.783784
149, 0.778523
150, 0.78
151, 0.781457
152, 0.782895
153, 0.777778
154, 0.772727
155, 0.767742
156, 0.769231
157, 0.770701
158, 0.772152
159, 0.773585
160, 0.775
161, 0.776398
162, 0.777778
163, 0.773006
164, 0.77439
165, 0.775758
166, 0.777108
167, 0.778443
168, 0.779762
169, 0.781065
170, 0.782353
171, 0.783626
172, 0.784884
173, 0.780347
174, 0.781609
175, 0.782857
176, 0.778409
177, 0.779661
178, 0.780899
179, 0.782123
180, 0.783333
181, 0.78453
182, 0.785714
183, 0.786885
184, 0.788043
185, 0.789189
186, 0.790323
187, 0.791444
188, 0.792553
189, 0.793651
190, 0.794737
191, 0.795812
192, 0.796875
193, 0.792746
194, 0.793814
195, 0.794872
196, 0.790816
197, 0.786802
198, 0.787879
199, 0.788945
200, 0.79
201, 0.791045
202, 0.792079
203, 0.788177
204, 0.789216
205, 0.790244
206, 0.791262
207, 0.792271
208, 0.793269
209, 0.794258
210, 0.795238
211, 0.796209
212, 0.79717
213, 0.798122
214, 0.799065
215, 0.8
216, 0.800926
217, 0.801843
218, 0.798165
219, 0.799087
220, 0.8
221, 0.79638
222, 0.797297
223, 0.798206
224, 0.799107
225, 0.8
226, 0.800885
227, 0.797357
228, 0.798246
229, 0.79476
230, 0.795652
231, 0.792208
232, 0.793103
233, 0.793991
234, 0.794872
235, 0.795745
236, 0.79661
237, 0.797468
238, 0.798319
239, 0.799163
240, 0.8
241, 0.80083
242, 0.801653
243, 0.798354
244, 0.79918
245, 0.795918
246, 0.796748
247, 0.797571
248, 0.798387
249, 0.799197
250, 0.796
251, 0.796813
252, 0.797619
253, 0.794466
254, 0.795276
255, 0.792157
256, 0.792969
257, 0.789883
258, 0.790698
259, 0.787645
260, 0.788462
261, 0.789272
262, 0.790076
263, 0.790875
264, 0.791667
265, 0.788679
266, 0.785714
267, 0.782772
268, 0.783582
269, 0.784387
270, 0.785185
271, 0.785978
272, 0.786765
273, 0.787546
274, 0.788321
275, 0.789091
276, 0.789855
277, 0.790614
278, 0.791367
279, 0.792115
280, 0.792857
281, 0.793594
282, 0.79078
283, 0.787986
284, 0.788732
285, 0.789474
286, 0.79021
287, 0.790941
288, 0.788194
289, 0.788927
290, 0.789655
291, 0.790378
292, 0.791096
293, 0.791809
294, 0.792517
295, 0.79322
296, 0.793919
297, 0.794613
298, 0.795302
299, 0.795987
300, 0.793333
301, 0.79402
302, 0.794702
303, 0.79538
304, 0.792763
305, 0.793443
306, 0.794118
307, 0.794788
308, 0.792208
309, 0.79288
310, 0.793548
311, 0.794212
312, 0.794872
313, 0.795527
314, 0.796178
315, 0.796825
316, 0.797468
317, 0.798107
318, 0.795597
319, 0.793103
320, 0.79375
321, 0.794393
322, 0.795031
323, 0.795666
324, 0.79321
325, 0.793846
326, 0.794479
327, 0.795107
328, 0.795732
329, 0.796353
330, 0.793939
331, 0.794562
332, 0.795181
333, 0.795796
334, 0.793413
335, 0.791045
336, 0.791667
337, 0.792285
338, 0.792899
339, 0.79351
340, 0.794118
341, 0.794721
342, 0.792398
343, 0.793003
344, 0.793605
345, 0.794203
346, 0.794798
347, 0.795389
348, 0.795977
349, 0.796562
350, 0.794286
351, 0.794872
352, 0.795455
353, 0.796034
354, 0.79661
355, 0.797183
356, 0.794944
357, 0.795518
358, 0.796089
359, 0.796657
360, 0.797222
361, 0.797784
362, 0.798343
363, 0.798898
364, 0.799451
365, 0.79726
366, 0.797814
367, 0.798365
368, 0.796196
369, 0.794038
370, 0.794595
371, 0.795148
372, 0.793011
373, 0.793566
374, 0.794118
375, 0.794667
376, 0.795213
377, 0.795756
378, 0.796296
379, 0.796834
380, 0.797368
381, 0.7979
382, 0.795812
383, 0.796345
384, 0.796875
385, 0.794805
386, 0.792746
387, 0.793282
388, 0.793814
389, 0.794344
390, 0.794872
391, 0.795396
392, 0.795918
393, 0.796438
394, 0.796954
395, 0.797468
396, 0.79798
397, 0.79597
398, 0.796482
399, 0.796992
400, 0.7975
401, 0.795511
402, 0.79602
403, 0.794045
404, 0.794554
405, 0.795062
406, 0.795567
407, 0.796069
408, 0.794118
409, 0.794621
410, 0.795122
411, 0.79562
412, 0.796117
413, 0.79661
414, 0.794686
415, 0.792771
416, 0.793269
417, 0.791367
418, 0.789474
419, 0.789976
420, 0.790476
421, 0.790974
422, 0.791469
423, 0.789598
424, 0.790094
425, 0.790588
426, 0.788732
427, 0.789227
428, 0.787383
429, 0.787879
430, 0.788372
431, 0.786543
432, 0.787037
433, 0.787529
434, 0.788018
435, 0.788506
436, 0.786697
437, 0.787185
438, 0.787671
439, 0.785877
440, 0.784091
441, 0.78458
442, 0.785068
443, 0.785553
444, 0.783784
445, 0.78427
446, 0.784753
447, 0.785235
448, 0.785714
449, 0.786192
450, 0.786667
451, 0.78714
452, 0.787611
453, 0.788079
454, 0.788546
455, 0.789011
456, 0.789474
457, 0.789934
458, 0.790393
459, 0.788671
460, 0.78913
461, 0.787419
462, 0.787879
463, 0.788337
464, 0.788793
465, 0.789247
466, 0.7897
467, 0.79015
468, 0.790598
469, 0.791045
470, 0.791489
471, 0.789809
472, 0.788136
473, 0.788584
474, 0.78903
475, 0.789474
476, 0.789916
477, 0.790356
478, 0.788703
479, 0.787056
480, 0.7875
481, 0.787942
482, 0.788382
483, 0.78882
484, 0.789256
485, 0.789691
486, 0.790123
487, 0.790554
488, 0.790984
489, 0.791411
490, 0.791837
491, 0.792261
492, 0.792683
493, 0.793103
494, 0.791498
495, 0.791919
496, 0.792339
497, 0.792757
498, 0.793173
499, 0.793587
500, 0.792
501, 0.792415
502, 0.792829
503, 0.793241
504, 0.793651
505, 0.794059
506, 0.794466
507, 0.792899
508, 0.793307
509, 0.793713
510, 0.792157
511, 0.792564
512, 0.792969
513, 0.793372
514, 0.793774
515, 0.794175
516, 0.794574
517, 0.794971
518, 0.793436
519, 0.793834
520, 0.792308
521, 0.792706
522, 0.793103
523, 0.793499
524, 0.793893
525, 0.792381
526, 0.792776
527, 0.793169
528, 0.793561
529, 0.793951
530, 0.79434
531, 0.794727
532, 0.795113
533, 0.795497
534, 0.79588
535, 0.796262
536, 0.796642
537, 0.79702
538, 0.797398
539, 0.795918
540, 0.796296
541, 0.796673
542, 0.795203
543, 0.79558
544, 0.795956
545, 0.794495
546, 0.79304
547, 0.793419
548, 0.793796
549, 0.79235
550, 0.792727
551, 0.791289
552, 0.791667
553, 0.792043
554, 0.792419
555, 0.790991
556, 0.791367
557, 0.789946
558, 0.790323
559, 0.790698
560, 0.791071
561, 0.791444
562, 0.791815
563, 0.792185
564, 0.79078
565, 0.789381
566, 0.789753
567, 0.78836
568, 0.786972
569, 0.787346
570, 0.787719
571, 0.788091
572, 0.788462
573, 0.788831
574, 0.787456
575, 0.787826
576, 0.786458
577, 0.786828
578, 0.787197
579, 0.787565
580, 0.786207
581, 0.786575
582, 0.786942
583, 0.787307
584, 0.785959
585, 0.786325
586, 0.786689
587, 0.787053
588, 0.787415
589, 0.786078
590, 0.786441
591, 0.786802
592, 0.787162
593, 0.787521
594, 0.787879
595, 0.788235
596, 0.788591
597, 0.788945
598, 0.789298
599, 0.78798
600, 0.788333
601, 0.788686
602, 0.789037
603, 0.789386
604, 0.789735
605, 0.790083
606, 0.788779
607, 0.789127
608, 0.789474
609, 0.789819
610, 0.790164
611, 0.788871
612, 0.789216
613, 0.78956
614, 0.789902
615, 0.790244
616, 0.788961
617, 0.789303
618, 0.789644
619, 0.789984
620, 0.790323
621, 0.79066
622, 0.790997
623, 0.791332
624, 0.791667
625, 0.792
626, 0.792332
627, 0.792663
628, 0.791401
629, 0.791733
630, 0.792063
631, 0.792393
632, 0.792722
633, 0.793049
634, 0.793375
635, 0.793701
636, 0.792453
637, 0.792779
638, 0.793103
639, 0.793427
640, 0.79375
641, 0.794072
642, 0.794393
643, 0.794712
644, 0.795031
645, 0.795349
646, 0.795666
647, 0.795981
648, 0.794753
649, 0.795069
650, 0.795385
651, 0.795699
652, 0.796012
653, 0.794793
654, 0.795107
655, 0.79542
656, 0.795732
657, 0.796043
658, 0.796353
659, 0.796662
660, 0.79697
661, 0.797277
662, 0.797583
663, 0.797888
664, 0.796687
665, 0.796992
666, 0.797297
667, 0.797601
668, 0.797904
669, 0.798206
670, 0.798507
671, 0.798808
672, 0.799107
673, 0.79792
674, 0.79822
675, 0.797037
676, 0.797337
677, 0.797637
678, 0.797935
679, 0.798233
680, 0.797059
681, 0.797357
682, 0.797654
683, 0.79795
684, 0.798246
685, 0.79854
686, 0.798834
687, 0.799127
688, 0.799419
689, 0.79971
690, 0.8
691, 0.800289
692, 0.799133
693, 0.799423
694, 0.799712
695, 0.8
696, 0.800287
697, 0.800574
698, 0.799427
699, 0.799714
700, 0.798571
701, 0.798859
702, 0.799145
703, 0.799431
704, 0.799716
705, 0.798582
706, 0.798867
707, 0.799151
708, 0.799435
709, 0.799718
710, 0.8
711, 0.798875
712, 0.799157
713, 0.799439
714, 0.798319
715, 0.798601
716, 0.797486
717, 0.797768
718, 0.79805
719, 0.798331
720, 0.798611
721, 0.797503
722, 0.796399
723, 0.79668
724, 0.796961
725, 0.797241
726, 0.797521
727, 0.797799
728, 0.798077
729, 0.796982
730, 0.79726
731, 0.797538
732, 0.797814
733, 0.79809
734, 0.798365
735, 0.798639
736, 0.797554
737, 0.797829
738, 0.798103
739, 0.797023
740, 0.797297
741, 0.797571
742, 0.796496
743, 0.795424
744, 0.795699
745, 0.795973
746, 0.796247
747, 0.796519
748, 0.795455
749, 0.795728
750, 0.796
751, 0.796272
752, 0.796543
753, 0.796813
754, 0.797082
755, 0.797351
756, 0.797619
757, 0.797886
758, 0.796834
759, 0.797101
760, 0.797368
761, 0.797635
762, 0.796588
763, 0.796855
764, 0.795812
765, 0.794771
766, 0.795039
767, 0.795306
768, 0.795573
769, 0.795839
770, 0.796104
771, 0.796368
772, 0.796632
773, 0.796895
774, 0.797158
775, 0.797419
776, 0.796392
777, 0.796654
778, 0.796915
779, 0.795892
780, 0.796154
781, 0.796415
782, 0.796675
783, 0.796935
784, 0.797194
785, 0.796178
786, 0.796438
787, 0.796696
788, 0.796954
789, 0.797212
790, 0.797468
791, 0.797724
792, 0.79798
793, 0.798235
794, 0.798489
795, 0.797484
796, 0.797739
797, 0.797992
798, 0.798246
799, 0.797247
800, 0.7975
801, 0.797753
802, 0.798005
803, 0.798257
804, 0.798507
805, 0.798758
806, 0.799007
807, 0.799257
808, 0.798267
809, 0.798517
810, 0.797531
811, 0.797781
812, 0.79803
813, 0.798278
814, 0.798526
815, 0.798773
816, 0.797794
817, 0.798042
818, 0.798289
819, 0.797314
820, 0.797561
821, 0.79659
