Iter^{-1/2}, Pi
inf, inf
1, 2
0.707107, 1.5
0.57735, 1.33333
0.5, 1.25
0.447214, 1.2
0.408248, 1
0.377964, 1
0.353553, 1
0.333333, 1
0.316228, 1
0.301511, 1
0.288675, 0.916667
0.27735, 0.923077
0.267261, 0.928571
0.258199, 0.933333
0.25, 0.9375
0.242536, 0.941176
0.235702, 0.944444
0.229416, 0.947368
0.223607, 0.95
0.218218, 0.904762
0.213201, 0.909091
0.208514, 0.913043
0.204124, 0.916667
0.2, 0.92
0.196116, 0.923077
0.19245, 0.925926
0.188982, 0.928571
0.185695, 0.896552
0.182574, 0.866667
0.179605, 0.83871
0.176777, 0.84375
0.174078, 0.818182
0.171499, 0.823529
0.169031, 0.828571
0.166667, 0.805556
0.164399, 0.810811
0.162221, 0.815789
0.160128, 0.820513
0.158114, 0.825
0.156174, 0.804878
0.154303, 0.809524
0.152499, 0.813953
0.150756, 0.818182
0.149071, 0.822222
0.147442, 0.826087
0.145865, 0.829787
0.144338, 0.8125
0.142857, 0.816327
0.141421, 0.82
0.140028, 0.823529
0.138675, 0.807692
0.137361, 0.811321
0.136083, 0.814815
0.13484, 0.818182
0.133631, 0.821429
0.132453, 0.824561
0.131306, 0.810345
0.130189, 0.813559
0.129099, 0.816667
0.128037, 0.803279
0.127, 0.806452
0.125988, 0.809524
0.125, 0.796875
0.124035, 0.8
0.123091, 0.80303
0.122169, 0.80597
0.121268, 0.808824
0.120386, 0.797101
0.119523, 0.8
0.118678, 0.802817
0.117851, 0.805556
0.117041, 0.794521
0.116248, 0.797297
0.11547, 0.8
0.114708, 0.802632
0.113961, 0.805195
0.113228, 0.807692
0.112509, 0.810127
0.111803, 0.8125
0.111111, 0.814815
0.110432, 0.817073
0.109764, 0.819277
0.109109, 0.821429
0.108465, 0.823529
0.107833, 0.825581
0.107211, 0.816092
0.1066, 0.818182
0.106, 0.820225
0.105409, 0.811111
0.104828, 0.813187
0.104257, 0.815217
0.103695, 0.817204
0.103142, 0.819149
0.102598, 0.821053
0.102062, 0.822917
0.101535, 0.824742
0.101015, 0.816327
0.100504, 0.818182
0.1, 0.82
0.0995037, 0.821782
0.0990148, 0.813725
0.0985329, 0.805825
0.0980581, 0.807692
0.09759, 0.809524
0.0971286, 0.811321
0.0966736, 0.803738
0.096225, 0.796296
0.0957826, 0.798165
0.0953463, 0.8
0.0949158, 0.801802
0.0944911, 0.794643
0.0940721, 0.787611
0.0936586, 0.780702
0.0932505, 0.773913
0.0928477, 0.775862
0.09245, 0.777778
0.0920575, 0.779661
0.0916698, 0.781513
0.0912871, 0.783333
0.0909091, 0.785124
0.0905357, 0.778689
0.090167, 0.772358
0.0898027, 0.774194
0.0894427, 0.776
0.0890871, 0.777778
0.0887357, 0.779528
0.0883883, 0.78125
0.0880451, 0.782946
0.0877058, 0.776923
0.0873704, 0.778626
0.0870388, 0.780303
0.086711, 0.781955
0.0863868, 0.776119
0.0860663, 0.777778
0.0857493, 0.779412
0.0854358, 0.781022
0.0851257, 0.782609
0.0848189, 0.784173
0.0845154, 0.785714
0.0842152, 0.787234
0.0839181, 0.788732
0.0836242, 0.79021
0.0833333, 0.791667
0.0830455, 0.786207
0.0827606, 0.787671
0.0824786, 0.782313
0.0821995, 0.783784
0.0819232, 0.778523
0.0816497, 0.78
0.0813788, 0.781457
0.0811107, 0.782895
0.0808452, 0.777778
0.0805823, 0.772727
0.0803219, 0.767742
0.0800641, 0.769231
0.0798087, 0.770701
0.0795557, 0.772152
0.0793052, 0.773585
0.0790569, 0.775
0.078811, 0.776398
0.0785674, 0.777778
0.078326, 0.773006
0.0780869, 0.77439
0.0778499, 0.775758
0.0776151, 0.777108
0.0773823, 0.778443
0.0771517, 0.779762
0.0769231, 0.781065
0.0766965, 0.782353
0.0764719, 0.783626
0.0762493, 0.784884
0.0760286, 0.780347
0.0758098, 0.781609
0.0755929, 0.782857
0.0753778, 0.778409
0.0751646, 0.779661
0.0749532, 0.780899
0.0747435, 0.782123
0.0745356, 0.783333
0.0743294, 0.78453
0.0741249, 0.785714
0.0739221, 0.786885
0.073721, 0.788043
0.0735215, 0.789189
0.0733236, 0.790323
0.0731272, 0.791444
0.0729325, 0.792553
0.0727393, 0.793651
0.0725476, 0.794737
0.0723575, 0.795812
0.0721688, 0.796875
0.0719816, 0.792746
0.0717958, 0.793814
0.0716115, 0.794872
0.0714286, 0.790816
0.071247, 0.786802
0.0710669, 0.787879
0.0708881, 0.788945
0.0707107, 0.79
0.0705346, 0.791045
0.0703598, 0.792079
0.0701862, 0.788177
0.070014, 0.789216
0.069843, 0.790244
0.0696733, 0.791262
0.0695048, 0.792271
0.0693375, 0.793269
0.0691714, 0.794258
0.0690066, 0.795238
0.0688428, 0.796209
0.0686803, 0.79717
0.0685189, 0.798122
0.0683586, 0.799065
0.0681994, 0.8
0.0680414, 0.800926
0.0678844, 0.801843
0.0677285, 0.798165
0.0675737, 0.799087
0.06742, 0.8
0.0672673, 0.79638
0.0671156, 0.797297
0.066965, 0.798206
0.0668153, 0.799107
0.0666667, 0.8
0.066519, 0.800885
0.0663723, 0.797357
0.0662266, 0.798246
0.0660819, 0.79476
0.065938, 0.795652
0.0657952, 0.792208
0.0656532, 0.793103
0.0655122, 0.793991
0.065372, 0.794872
0.0652328, 0.795745
0.0650945, 0.79661
0.064957, 0.797468
0.0648204, 0.798319
0.0646846, 0.799163
0.0645497, 0.8
0.0644157, 0.80083
0.0642824, 0.801653
0.06415, 0.798354
0.0640184, 0.79918
0.0638877, 0.795918
0.0637577, 0.796748
0.0636285, 0.797571
0.0635001, 0.798387
0.0633724, 0.799197
0.0632456, 0.796
0.0631194, 0.796813
0.0629941, 0.797619
0.0628695, 0.794466
0.0627456, 0.795276
0.0626224, 0.792157
0.0625, 0.792969
0.0623783, 0.789883
0.0622573, 0.790698
0.062137, 0.787645
0.0620174, 0.788462
0.0618984, 0.789272
0.0617802, 0.790076
0.0616626, 0.790875
0.0615457, 0.791667
0.0614295, 0.788679
0.0613139, 0.785714
0.061199, 0.782772
0.0610847, 0.783582
0.0609711, 0.784387
0.0608581, 0.785185
0.0607457, 0.785978
0.0606339, 0.786765
0.0605228, 0.787546
0.0604122, 0.788321
0.0603023, 0.789091
0.0601929, 0.789855
0.0600842, 0.790614
