Iter, Pi
0, nan
1, 0
2, 0
3, 2.66667
4, 4
5, 3.2
6, 2.66667
7, 3.42857
8, 3
9, 2.66667
10, 3.2
11, 2.90909
12, 2.66667
13, 2.46154
14, 2.28571
15, 2.66667
16, 3
17, 2.82353
18, 3.11111
19, 3.36842
20, 3.2
21, 3.04762
22, 3.27273
23, 3.47826
24, 3.33333
25, 3.52
26, 3.38462
27, 3.25926
28, 3.42857
29, 3.31034
30, 3.46667
31, 3.6129
32, 3.75
33, 3.87879
34, 4
35, 3.88571
36, 4
37, 4.10811
38, 4
39, 3.89744
40, 3.8
41, 3.70732
42, 3.80952
43, 3.90698
44, 4
45, 3.91111
46, 4
47, 4.08511
48, 4
49, 4.08163
50, 4.16
51, 4.23529
52, 4.30769
53, 4.22642
54, 4.2963
55, 4.36364
56, 4.28571
57, 4.21053
58, 4.27586
59, 4.33898
60, 4.26667
61, 4.32787
62, 4.3871
63, 4.31746
64, 4.375
65, 4.30769
66, 4.36364
67, 4.41791
68, 4.35294
69, 4.4058
70, 4.34286
71, 4.39437
72, 4.44444
73, 4.38356
74, 4.43243
75, 4.37333
76, 4.31579
77, 4.25974
78, 4.30769
79, 4.35443
80, 4.3
81, 4.24691
82, 4.19512
83, 4.24096
84, 4.19048
85, 4.23529
86, 4.27907
87, 4.22989
88, 4.18182
89, 4.13483
90, 4.17778
91, 4.13187
92, 4.17391
93, 4.21505
94, 4.17021
95, 4.12632
96, 4.16667
97, 4.20619
98, 4.2449
99, 4.20202
100, 4.16
101, 4.19802
102, 4.23529
103, 4.19417
104, 4.23077
105, 4.19048
106, 4.22642
107, 4.18692
108, 4.22222
109, 4.18349
110, 4.14545
111, 4.18018
112, 4.21429
113, 4.24779
114, 4.21053
115, 4.17391
116, 4.13793
117, 4.17094
118, 4.13559
119, 4.10084
120, 4.13333
121, 4.16529
122, 4.13115
123, 4.09756
124, 4.12903
125, 4.16
126, 4.19048
127, 4.15748
128, 4.1875
129, 4.15504
130, 4.18462
131, 4.15267
132, 4.18182
133, 4.21053
134, 4.1791
135, 4.20741
136, 4.17647
137, 4.20438
138, 4.17391
139, 4.20144
140, 4.22857
