Iter^{-1/2}, Pi
inf, nan
1, 0
0.707107, 0
0.57735, 2.66667
0.5, 4
0.447214, 3.2
0.408248, 2.66667
0.377964, 3.42857
0.353553, 3
0.333333, 2.66667
0.316228, 3.2
0.301511, 2.90909
0.288675, 2.66667
0.27735, 2.46154
0.267261, 2.28571
0.258199, 2.66667
0.25, 3
0.242536, 2.82353
0.235702, 3.11111
0.229416, 3.36842
0.223607, 3.2
0.218218, 3.04762
0.213201, 3.27273
0.208514, 3.47826
0.204124, 3.33333
0.2, 3.52
0.196116, 3.38462
0.19245, 3.25926
0.188982, 3.42857
0.185695, 3.31034
0.182574, 3.46667
0.179605, 3.6129
0.176777, 3.75
0.174078, 3.87879
0.171499, 4
0.169031, 3.88571
0.166667, 4
0.164399, 4.10811
0.162221, 4
0.160128, 3.89744
0.158114, 3.8
0.156174, 3.70732
0.154303, 3.80952
0.152499, 3.90698
0.150756, 4
0.149071, 3.91111
0.147442, 4
0.145865, 4.08511
0.144338, 4
0.142857, 4.08163
0.141421, 4.16
0.140028, 4.23529
0.138675, 4.30769
0.137361, 4.22642
0.136083, 4.2963
0.13484, 4.36364
0.133631, 4.28571
0.132453, 4.21053
0.131306, 4.27586
0.130189, 4.33898
0.129099, 4.26667
0.128037, 4.32787
0.127, 4.3871
0.125988, 4.31746
0.125, 4.375
0.124035, 4.30769
0.123091, 4.36364
0.122169, 4.41791
0.121268, 4.35294
0.120386, 4.4058
0.119523, 4.34286
0.118678, 4.39437
0.117851, 4.44444
0.117041, 4.38356
0.116248, 4.43243
0.11547, 4.37333
0.114708, 4.31579
0.113961, 4.25974
0.113228, 4.30769
0.112509, 4.35443
0.111803, 4.3
0.111111, 4.24691
0.110432, 4.19512
0.109764, 4.24096
0.109109, 4.19048
0.108465, 4.23529
0.107833, 4.27907
0.107211, 4.22989
0.1066, 4.18182
0.106, 4.13483
0.105409, 4.17778
0.104828, 4.13187
0.104257, 4.17391
0.103695, 4.21505
0.103142, 4.17021
0.102598, 4.12632
0.102062, 4.16667
0.101535, 4.20619
0.101015, 4.2449
0.100504, 4.20202
0.1, 4.16
0.0995037, 4.19802
0.0990148, 4.23529
0.0985329, 4.19417
0.0980581, 4.23077
0.09759, 4.19048
0.0971286, 4.22642
0.0966736, 4.18692
0.096225, 4.22222
0.0957826, 4.18349
0.0953463, 4.14545
0.0949158, 4.18018
0.0944911, 4.21429
0.0940721, 4.24779
0.0936586, 4.21053
0.0932505, 4.17391
0.0928477, 4.13793
0.09245, 4.17094
0.0920575, 4.13559
0.0916698, 4.10084
0.0912871, 4.13333
0.0909091, 4.16529
0.0905357, 4.13115
0.090167, 4.09756
0.0898027, 4.12903
0.0894427, 4.16
0.0890871, 4.19048
0.0887357, 4.15748
0.0883883, 4.1875
0.0880451, 4.15504
0.0877058, 4.18462
0.0873704, 4.15267
0.0870388, 4.18182
0.086711, 4.21053
0.0863868, 4.1791
0.0860663, 4.20741
0.0857493, 4.17647
0.0854358, 4.20438
0.0851257, 4.17391
0.0848189, 4.20144
0.0845154, 4.22857
0.0842152, 4.19858
0.0839181, 4.22535
0.0836242, 4.25175
0.0833333, 4.22222
0.0830455, 4.24828
0.0827606, 4.27397
0.0824786, 4.2449
0.0821995, 4.21622
0.0819232, 4.24161
